name,player_position,expected_position,actual_position,category,grip,links,tutorial_link,player_tags
Forehand | Hold & Flick | Straight,PR2,OR2,OR8,net,F,,,"Carsten Mogensen, "
Backhand | Hold & Flick | Straight,PL2,OL2,OL8,net,B,,,"Anthony Ginting, Kenta Nishimoto, "
Forehand | Hold & Flick | Cross,PR2,OR2,OL8,net,F,,,"Tai Tzu Ying, "
Backhand | Hold & Flick | Cross,PL2,OL2,OR8,net,B,,,"Lin Dan, "
Forehand | High Net Deception,PR1,OR1,OR2,net,F,,,"Anders Antonsen, Yuta Watanabe, "
Backhand | High Net Deception,PL1,OL1,OL2,net,B,,,"Ratchanok Intanon, "
Forehand | High Net Deception 2,PR1,OR4,OR2,net,F,,,
Backhand | High Net Deception 2,PL1,OL4,OL2,net,B,,,
Forehand | Low Net Deception,PR3,OR1,OR2,front,F,,,"Anthony Ginting, Sam Parsons"
Backhand | Low Net Deception,PR1,OR1,OL2,front,B,,,"Kento Momota, Lin Dan, "
Forehand | Fake Lift,PR4,OR8,OR2,front,F,,,"Lin Dan, "
Backhand | Fake Lift,PL4,OL8,OL2,front,B,,,"Lin Dan, Lee Chong Wei,"
Forehand | Fake Straight Net,PR4,OR2,OL2,front,F,,,"Lee Chong Wei, Goh V Shem, "
Backhand | Fake Straight Net,PL4,OL2,OR2,front,B,,,"Lee Chong Wei, "
Forehand | Held Lift | Straight,PR4,OR2,OR8,front,F,,,"Lee Chong Wei, "
Backhand | Held Lift | Straight,PL4,OL2,OL8,front,B,,,"Lee Chong Wei, "
Forehand | Held Lift | Cross,PR4,OR2,OL8,front,F,,,"Lin Dan, "
Backhand | Held Lift | Cross,PL4,OL2,OR8,front,B,,,"Tai Tzu Ying, "
Forehand | Serve Return Deception | Singles,PL1,OL8,OR8,front,F,,,
Backhand | Serve Return Deception | Singles,PR1,OR8,OL8,front,B,,,
Forehand | Held Drive,PR5,OL5,OR6,mid,F,,,Yuta Watanabe
Backhand | Sliced Drive,PL6,OL6,OR4,mid,B,,,"Kevin Sanjaya Sukamuljo,  "
Forehand | Sliced Drop,PR8,OR4,OL4,back,F,,,"Shi Yuqi, "
Forehand | Reverse Sliced Drop,PR8,OR8,OR4,back,F,,,Daren Liew
Backhand | Reverse Sliced Drop,PL8,OL8,OL4,back,B,,,"Tai Tzu Ying, "
Forehand | Reverse Sliced Drop | Round the Head,PL8,OL4,OR4,back,F,,,"Lin Dan, "
Forehand | Fake Smash | Drop,PR8,PR6,OR4,back,F,,,"Yuta Watanabe,"
Forehand | Fake Clear | Drop,PR8,OR8,OR4,back,F,,,
Forehand | Cross Drop Deception,PR8,OR6,OL4,back,F,,,"Tai Tzu Ying, "